image_name,class_id
MRDHENax5BmhgWiP0Q6r7oyUeJY3498G.jpg,0
Q2FrDtBxE8vHW9Xaw0mJ4y7Uko1gpnAb.jpg,1
QKY8xUJdRMrHzyic4kCVf1hEg7D6LmtO.jpg,0
RWNXODxJr8ycSjfs3FB6maH17GdElTAn.jpg,1
Rk0EqcgONwWPGfldB6xmQLeH7o348DhT.jpg,0
SYx1TLkbG4frEoHesICB3tiJg6q2M5am.jpg,0
TL2l0ONIw1rHWBjesM8gAn3boaiDfdRh.jpg,1
TeGlUjsEJmHZP4brfcnkyKwuz6QiD7d2.jpg,0
Tr3CVljOfvJoIa59RFeh4xLdygBKNc7M.jpg,1
UX7vSRKkyczsDmJeEbxo9GWi248NH5TQ.jpg,0
UyHz6Xr3sBvw2eqGi4m10PSAbfljdEgk.jpg,0
V5gnBH4jWsxAZKhOw7c0XCIaYNfvSrul.jpg,1
ViAzqbmvpKywSUjQ04fBFTgNIRMrE7tO.jpg,0
WjrSmKki4Gy5voQ8Lqcs3teAuNUDZMw9.jpg,1
X6jsgE1ZzMQ0hmKcfvdNPJrB7quWLVYF.jpg,0
XixotgrBVGyfeWuQdkZ4OaKpSP6jFbs5.jpg,0
YVdT1S8bpREK5naIQDxqyzts6Bev7ckf.jpg,1
ZFYfEqdArQTsmB9n5GU6weXMiDvjlxKO.jpg,0
ZGY8PUVAsboq6e3Qm9kTRWB1uJEKjOcM.jpg,1
ZKJ5yBmGYrX9k0soEd6UTHxFqcj8nPie.jpg,1
ZkQE51RwPlCThtf42dr3gBpV69mn08ID.jpg,1
msP8zi634McI92CWwRhLlfYXAD5QKHoG.jpg,1
nZhiOTVU4au3sgl1rpAzvocBqfS5bNIx.jpg,1
os2dVwAxGXl4W7I6YZNr5CRagpJQLnci.jpg,0
qG6YeBNPLtKkxuVAQzCb9gpvRUcaw8WT.jpg,0
r2BfFe5zYPybLTXhHGk1jK8glZomJx9N.jpg,0
riAfOylG9pu2nPgeXN4tazJbDK8dBcRE.jpg,1
rjDCPnbaVR3HmxdupL0BvU4fkeNi5ycO.jpg,0
rwJnz3GAkHhgEXUb4pImftloeBZ27dK9.jpg,1
s5u3jLhxSH2U9It1eqJEWC7pbfaXyrvc.jpg,0
