image_name,class_id
0NOoKRrgSjBzLQyqu1pcEdfMhxaZbYU7.jpg,0
1aE4zTsgouihQpwxGyYRLk7vWOInH9Nd.jpg,0
1nu3AlGMwsLbmDOCfqJpPjhvgTxUSNyF.jpg,1
4HECjhcnoVZL6eBYGx9zaFqmAp8Ks30w.jpg,1
5eYUCfqnVPjpcwQgy2TKFrIk8ZN7huai.jpg,1
61GgAirQVSqCL49s5xWMJkIemjtlHZfn.jpg,0
7F0AEBRkMXHZKwo3GVp8LUSgDqtNrYPc.jpg,1
9DIHMrbTtk1vm3ZexVEcJG5Cuz2dshfL.jpg,0
Az92QxT3DHkLFWrsnd0KVyOYfX8wNju6.jpg,0
DCcrTA4V9XLosbG0kYjvKBf5FaePH2IJ.jpg,1
FnZsKxqL8d2t0C35y76jH14VpJTYUIOl.jpg,1
GIdFDs87zMO1Vjc39hgivxNZAqyKoY5u.jpg,0
GZSbygqevo3I5VrN09YE2ATDmhpufXQ6.jpg,0
JwXWixyQaHEgTDBPj4Lk7zS83meb9Nnq.jpg,0
KhlW4cFHrx8OwCLP5MSEpk1yvR0e6Uai.jpg,0
LsVDSnUOileNfyXru4axHqFCBQ7Ytz0M.jpg,0
eTQlLkwxJiUGBWu3CKpIasyVqj4bNEO6.jpg,0
giX84uxQVZMsEUtmS3fGHFoYNTP9wpIq.jpg,1
ivgUoLNdfqTwZS4QajGDIRObph2J0enB.jpg,1
jR8Sf3DaTnO6Ld2cFCzpBPHY4o0VGqbl.jpg,1
k8aTrRAKDeGHSmtiXnIuqpfYPg12NdbE.jpg,0
kzxJUfHnRo1hSV0vs2TZAc9bIPeq8gy5.jpg,1
mf4Gbp5PRC3MNVAoc1vlXdqxjwH7I0uF.jpg,0
29QciX8R4YsTaKWZq13pIeSUf0yE7zw5.jpg,1
4H3m6ir8FDqbTkjRw0C91lPKG2vQMAWo.jpg,1
4J8lnELMyfoUtGIDuN0HhSazRxWem1Xd.jpg,0
4eTiPCQLt9OcNoWKk3lpHVUGwD6AmruX.jpg,0
71XCc9kYgThHfDzwdBojqKrspUNxZiau.jpg,1
AYjaR0BGTVbEpWr1nLtX3d4K872qemJ6.jpg,0
B3xOiSX4zEFGV27yTlPae1DpNjYmqItf.jpg,1
BFAj5H1M6b9cOJ3WCrYdIl2xU4pXERfP.jpg,0
C8PyuflA6YacX3SLebmTKNt2DBpzZgVF.jpg,1
CduVicvUxP40bsF2m93kloDpO8Y6eBQZ.jpg,0
D4rdPGeRbHpCuVq08vZj1o9tNBQ37Al2.jpg,0
DR4OYU2a3Zlecy8tImzT9uf0Cbhnd67V.jpg,1
Fglzt36CZvKxGb80uHJrqkSeN91EAwfa.jpg,0
G1TvYCqMnsXRzix7Odg3m0D962HjcwLJ.jpg,1
IPVW8puox0wHzT6S1hCGLDaFnskAUeK5.jpg,1
